,root_control_1,root_control_2,root_control_3,root_IAA_1,root_IAA_2,root_IAA_3
AT3G14430,1522.11080979708,1429.6341099048,1513.05770201171,1183.74106123946,1314.01538588788,1209.75067192503
AT3G14431,0,0,0,0,0,0
AT3G14440,58.3878485239619,55.0706513830816,102.608693521639,79.3791155902405,61.431781115202,76.1885529552782
AT3G14450,10.0668704351658,25.3324996362175,26.913755677807,7.93791155902405,10.4121662907122,14.4140505591067
AT3G14452,0,0,0,2.97671683463402,0,0
AT3G14460,354.353839317838,316.105538938888,341.468275162177,431.623941021933,200.954809410746,326.375287659773
AT3G14470,1202.99101700232,1094.80454949566,956.279381427081,1286.93391150677,811.107754046481,953.386486980913
AT3G14475,140.936186092322,106.837063683178,89.1518156827358,128.991062834141,149.935194586256,84.4251532747677
AT3G14480,0,0,1.68210972986294,0,0,0
AT3G14490,10.0668704351658,17.6226084425861,5.04632918958882,2.97671683463402,8.32973303256976,4.11830015974477
AT3G14510,423.815245320482,519.86694905629,427.255871385187,257.982125668282,250.933207606164,261.512060143793
AT3G14520,8.05349634813267,6.60847816596979,6.72843891945176,1.98447788975601,4.16486651628488,2.05915007987238
AT3G14530,567.771492543353,692.788794399166,589.579460316961,279.811382455598,250.933207606164,286.221861102261
AT3G14540,298.986051924425,318.308364994212,283.435489481905,260.958842502916,290.499439510871,185.323507188514
AT3G14550,200.3307216598,203.761410117402,199.330002988758,296.679444518524,280.087273220158,256.364184944112
AT3G14560,871.790979685362,581.546078605342,888.994992232564,1106.34642353898,1057.87609513636,1028.54546489626
AT3G14570,4623.71359087167,3097.17343378451,4321.33989601789,3418.26316510473,3053.88837306589,4562.04700195726
AT3G14580,304.019487142008,254.426409389837,296.051312455877,326.446612864864,287.375789623657,294.458461421751
AT3G14590,1906.66526042041,1744.63823581602,1756.96361284184,2513.34124737599,2043.90824286681,2095.18520627015
AT3G14595,2576.11214435894,2114.71301311033,2054.69703502758,2915.19802005158,2678.00916997118,2306.24808945707
AT3G14600,31543.5318215486,34197.773095866,22999.486336416,30240.466323047,40325.2788272993,27570.9899944513
AT3G14610,4157.61748972349,3673.21244725154,3833.52807435764,6160.81160874754,5553.84949946589,5467.04346206118
AT3G14620,553.677873934121,882.231835156967,703.96292194764,1531.02469194676,2094.9278576913,1329.18137655762
AT3G14630,26.1738631314312,16.5211954149245,12.615822973972,25.7982125668282,33.3189321302791,36.0351263977667
AT3G14640,59.3945355674785,109.039889738502,94.1981448723246,112.123000771215,86.4209802129113,143.110930551131
AT3G14650,1803.98318198172,1371.25921943873,1716.59297932513,1423.86288589994,1064.12339491079,1822.34782068706
AT3G14660,3174.08424820779,2605.94322344742,2894.91084509412,3385.51927992376,2447.90029494644,2896.19458734051
AT3G14670,4.02674817406634,2.20282605532326,1.68210972986294,0,0,4.11830015974477
AT3G14680,4376.06857816659,3998.12929041172,3001.72481294042,9367.72787859326,5545.51976643332,4495.12462436141
AT3G14690,3323.07393064824,2794.28485117756,3132.92937186973,4263.65074614079,3164.25733574744,3771.33337128627
AT3G14700,117.78238409144,117.851193959795,121.952955415063,117.084195495605,111.410179310621,109.134954233236
AT3G14710,12.080244522199,33.0423908298489,28.59586540767,16.8680620629261,34.3601487593503,16.4732006389791
AT3G14720,4614.65340748002,4267.97548218882,4731.77467010445,4324.17732177835,3996.18942237534,4705.15793250839
AT3G14730,320.126479838274,264.339126638792,287.640763806563,348.27586965218,294.664306027155,289.31058622207
AT3G14735,68.4547189591277,60.5777165213897,46.2580175712309,44.6507525195103,44.7723150500625,30.8872511980857
AT3G14740,1266.41230074386,1790.89758297781,1379.32997848761,1101.38522881459,1103.68962681549,936.913286341934
AT3G14750,540.590942368406,590.357382826635,479.401273010938,591.374411147292,653.884043056727,771.151704912207
